"fcs_names","fcs_files","study_id","antibodies"
"Hs90208Bd_C20090205_00.583331.fcs","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Hs90210Bd_C20090205_00.583065.fcs","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Hs90211Bd_C20090205_00.583066.fcs","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"T_Hs60003Bd_C200900407A_00.581924.fcs","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"T_Hs60011Bd_C200900505A_00.581822.fcs","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"T_Hs60012Bd_C200900505A_00.581833.fcs","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","Data_SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Panel 1 Ki67ccr7_Hs60022Bd-C20090624-03.581846.fcs","Data/Study2/Panel 1 Ki67ccr7_Hs60022Bd-C20090624-03.581846.fcs","Data_SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"Panel 1 Ki67ccr7_Hs60025Bd-C20090713-04.583112.fcs","Data/Study2/Panel 1 Ki67ccr7_Hs60025Bd-C20090713-04.583112.fcs","Data_SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"Panel 1 Ki67ccr7_Hs60041Bd-C20090810-04.581964.fcs","Data/Study2/Panel 1 Ki67ccr7_Hs60041Bd-C20090810-04.581964.fcs","Data_SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"Panel 1 Ki67ccr7_Hs60056Bd_C20090921-07.581912.fcs","Data/Study2/Panel 1 Ki67ccr7_Hs60056Bd_C20090921-07.581912.fcs","Data_SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"11-0059_cells_found.573523.fcs","Data/Study1/11-0059_cells_found.573523.fcs","Data_SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11-0445_cells_found.573686.fcs","Data/Study1/11-0445_cells_found.573686.fcs","Data_SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11-0462_cells_found.573690.fcs","Data/Study1/11-0462_cells_found.573690.fcs","Data_SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11-0491-1_cells_found.573697.fcs","Data/Study1/11-0491-1_cells_found.573697.fcs","Data_SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
