"study_id","fcs_files","cluster_id","label","fcs_names","TIME","CELL_LENGTH","DEAD","CD19","CD4","CD8","IGD","CD85J","CD16","CD3","CD38","CD27","CD14","CD94","CCR7","CD45RA","CD20","CD127","CD33","CD28","CD24","CD161","TCRGD","CD56","HLADR","CD25","DNA1","DNA2","fraction"
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs","cluster21","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD27-|CD28-|CD3-|CD33-|CD4-|CD56+|HLADR-|IGD-","11059_cells_found.573523.fcs",610443,41,-0.00227223383262753,-0.0599202327430248,-0.0264152884483337,0.64007967710495,-0.0586646161973476,0.164274275302887,3.00006866455078,0.365971744060516,4.06882429122925,0.447789222002029,-0.0108635937795043,1.63490855693817,-0.0105754137039185,5.41560363769531,0.409175962209702,-0.0447275154292583,-0.0103202229365706,-0.0204775352030993,-0.0419291481375694,0.603614926338196,-0.0492682307958603,2.75264739990234,0.615562319755554,-0.0278088934719563,6.27584362030029,6.75149440765381,0.077
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs","cluster21","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD27-|CD28-|CD3-|CD33-|CD4-|CD56+|HLADR-|IGD-","11445_cells_found.573686.fcs",532896,40,-0.00500933127477765,-0.0621264353394508,-0.0391360186040401,0.408678323030472,-0.0693172216415405,0.554600059986115,2.65531325340271,0.227665677666664,3.58986115455627,0.230556800961494,-0.010740484111011,2.20307087898254,-0.0247536227107048,4.95448017120361,0.141673177480698,-0.0543586313724518,-0.0242685154080391,-0.057550948113203,-0.0502837225794792,0.243174046278,-0.0507162511348724,2.92991256713867,0.587197184562683,-0.0297014489769936,6.51548337936401,6.93614959716797,0.137
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs","cluster21","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD27-|CD28-|CD3-|CD33-|CD4-|CD56+|HLADR-|IGD-","11462_cells_found.573690.fcs",626330,41,-0.00212865229696035,-0.0589032731950283,-0.055752620100975,-0.0164090599864721,-0.0582870282232761,0.0185654629021883,1.77523505687714,0.0945305600762367,2.2825882434845,0.0499370284378529,-0.0214092060923576,3.58171391487122,-0.000462320778751746,5.64690732955933,0.264251828193665,-0.0591668151319027,-0.0553044900298119,-0.0534369125962257,-0.0582249388098717,0.0810777917504311,-0.0490060783922672,3.42001700401306,0.277757883071899,-0.0298259258270264,6.43537282943726,6.86949443817139,0.133
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs","cluster21","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD27-|CD28-|CD3-|CD33-|CD4-|CD56+|HLADR-|IGD-","11491-1_cells_found.573697.fcs",475502.5,34.5,0.0678593615884893,-0.0408722013235092,-0.0286256545223296,0.282584168016911,-0.0565362814813852,0.41435968875885,1.57787477970123,0.016946068557445,3.55479156970978,0.235239058732986,-0.035123591311276,1.76073426008224,0.199682913720608,2.83334136009216,-0.00488217128440738,-0.041222620755434,0.18975879997015,-0.0178212816826999,-0.0761813558638096,1.60585010051727,-0.030431873165071,2.2283753156662,0.0815341547131538,-0.0552610717713833,4.92235088348389,5.45999670028687,0.026
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs","cluster22","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD25-|CD27-|CD28-|CD3-|CD33-|CD4-|CD85J-|HLADR-|IGD-","11059_cells_found.573523.fcs",622893,33,-0.0136025976389647,-0.0600470416247845,-0.0320178456604481,0.317891627550125,-0.0619874633848667,-0.0088641382753849,1.13925421237946,0.186783999204636,2.58634281158447,0.173000425100327,-0.0402692742645741,0.144103422760963,-0.0338494367897511,3.62535786628723,0.169576376676559,-0.0491683036088943,-0.0306279808282852,-0.0182610843330622,-0.0514802038669586,-0.00404379004612565,-0.0615775287151337,1.47718250751495,0.195370584726334,-0.035380806773901,6.0965428352356,6.56112623214722,0.141
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs","cluster22","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD25-|CD27-|CD28-|CD3-|CD33-|CD4-|CD85J-|HLADR-|IGD-","11445_cells_found.573686.fcs",545406,35.5,-0.00753876403905451,-0.0573182925581932,-0.0462152902036905,-3.8296275306493e-06,-0.0607669334858656,0.164158187806606,1.81391274929047,0.122649792581797,2.96951854228973,0.12866223603487,-0.035444924607873,1.26729530096054,-0.0363930501043797,4.46226716041565,-0.0166067564859986,-0.0576347764581442,-0.0158934942446649,-0.0552384704351425,-0.054441399872303,-0.0124791385605931,-0.0593641642481089,2.38433885574341,0.391753807663918,-0.0521712191402912,6.35785818099976,6.83514213562012,0.17
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs","cluster22","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD25-|CD27-|CD28-|CD3-|CD33-|CD4-|CD85J-|HLADR-|IGD-","11462_cells_found.573690.fcs",673688.5,35,-0.00852844165638089,-0.0560911875218153,-0.0465637668967247,-0.0429226122796535,-0.0539247207343578,-0.0125035136006773,0.342142373323441,-0.0118495216593146,1.21859365701675,-0.0173207297921181,-0.0327738039195538,1.48982340097427,-0.0307457586750388,4.25291109085083,-0.00252408895175904,-0.0608881209045649,-0.0554545391350985,-0.0554660297930241,-0.0530872587114573,-0.0325462054461241,-0.0537354350090027,2.3774825334549,0.175359576940536,-0.0427844189107418,6.21460866928101,6.68756628036499,0.214
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs","cluster22","CCR7-|CD127-|CD14-|CD19-|CD20-|CD24-|CD25-|CD27-|CD28-|CD3-|CD33-|CD4-|CD85J-|HLADR-|IGD-","11491-1_cells_found.573697.fcs",527705,25.5,0.137276336550713,-0.0623716693371534,-0.0449251942336559,-0.0055345247965306,-0.0525472797453403,-0.0269581899046898,-0.0373788513243198,-0.00391067680902779,0.276168286800385,0.0116131872637197,-0.0413120687007904,-0.0120027950033545,0.00800027092918754,0.522563844919205,-0.0143667198717594,-0.0583811700344086,-0.0278865080326796,-0.0427327957004309,-0.073904924094677,-0.0131854363717139,-0.0508136935532093,-0.0258472319692373,0.00816915743052959,-0.0531716477125883,4.32913017272949,4.8335428237915,0.116
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs","cluster23","CD127+|CD14-|CD16-|CD161-|CD20-|CD28+|CD3+|CD33-|CD4+|CD56-|CD8-|CD85J-|CD94-|HLADR-|IGD-","11059_cells_found.573523.fcs",604325,39,-0.0184687171131372,-0.0196600891649723,3.29737377166748,0.467486023902893,-0.0327517129480839,-0.0314293280243874,-0.0364504605531693,3.78283524513245,0.760218918323517,3.54799103736877,0.011130346916616,-0.0562137812376022,2.12864208221436,1.29237627983093,0.114127606153488,2.15192055702209,0.41490450501442,2.48239207267761,0.212330237030983,-0.0513558387756348,-0.0621115006506443,-0.0490163490176201,0.13810159265995,0.181428506970406,6.13789319992065,6.61143445968628,0.121
"SDY420_CyTOF-1","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs","cluster23","CD127+|CD14-|CD16-|CD161-|CD20-|CD28+|CD3+|CD33-|CD4+|CD56-|CD8-|CD85J-|CD94-|HLADR-|IGD-","11445_cells_found.573686.fcs",472634.5,44,-0.0337449982762337,-0.00939624942839146,3.47695291042328,0.566843926906586,-0.0413368288427591,-0.0450924355536699,-0.0407025720924139,4.56093263626099,1.76130932569504,4.24918246269226,0.0442604683339596,-0.0256641674786806,3.35505962371826,3.31676518917084,-0.0141561892814934,1.74030119180679,0.466247469186783,2.36938512325287,0.177967123687267,-0.0515865609049797,-0.0511242710053921,-0.0481829885393381,0.0924358256161213,0.527729868888855,6.3037257194519,6.78502798080444,0.084
