"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","SSC-A","CD11A","CD4","CD16","CD28","CD95","CD3","CD62L","CD8","CCR7","TIME","fraction"
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90208Bd_C20090205_00.583331.fcs",45635.71875,6.16789817810059,3.06606984138489,4.11847496032715,0.0833899900317192,1.27885580062866,2.53610396385193,4.50468301773071,6.43608617782593,-0.0900040343403816,3.68133950233459,7183,0.521
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90210Bd_C20090205_00.583065.fcs",44983.638671875,6.05167555809021,2.86780738830566,3.98983752727509,0.129474230110645,1.69843572378159,1.40559959411621,4.33654403686523,6.4419252872467,0.091710913926363,3.96307301521301,6187.09985351562,0.604
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90211Bd_C20090205_00.583066.fcs",44352.080078125,6.04135394096375,3.01249754428864,4.00209856033325,0.121485035866499,1.1329750418663,0.84387880563736,4.26242733001709,6.42341017723083,-0.0453002527356148,4.05372548103333,8136.94995117188,0.62
"Data_SDY736_FCM-1","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60003Bd_C200900407A_00.581924.fcs",43215.5,6.22443842887878,3.00877094268799,4.24004364013672,0.162450648844242,1.51309752464294,1.47845655679703,4.23518753051758,6.38046741485596,2.88264667987823,4.30368995666504,3226.15002441406,0.35
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60011Bd_C200900505A_00.581822.fcs",58789.798828125,6.06968975067139,3.06450664997101,4.19823598861694,0.113293018192053,2.64070296287537,1.78706133365631,4.42970609664917,5.33520030975342,-0.111322063952684,2.8371274471283,2992.60009765625,0.592
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60012Bd_C200900505A_00.581833.fcs",61640.55859375,6.12499976158142,3.34954833984375,4.13761329650879,0.128935150802135,2.90579426288605,3.17858994007111,4.19061350822449,5.28163313865662,0.100622549653053,2.44455325603485,4535.09985351562,0.538
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","Hs90208Bd_C20090205_00.583331.fcs",40392.48046875,6.18268442153931,1.89820528030396,0.180284440517426,0.176956981420517,0.188293352723122,0.637447357177734,-0.0324025135487318,2.35499691963196,-0.0696920603513718,2.1847015619278,6991.5,0.348
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","Hs90210Bd_C20090205_00.583065.fcs",45738.318359375,6.38257265090942,2.0483011007309,0.376274824142456,0.2470463514328,0.206921599805355,1.13469940423965,0.365560442209244,4.04461789131165,0.231570012867451,2.74740195274353,5715.10009765625,0.212
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","Hs90211Bd_C20090205_00.583066.fcs",38428.638671875,5.92687749862671,1.3707270026207,0.472328811883926,0.156525358557701,0.148771412670612,0.429141744971275,-0.128913767635822,6.35847449302673,-1.15681934356689,0.593322515487671,8180.10009765625,0.304
"Data_SDY736_FCM-1","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","T_Hs60003Bd_C200900407A_00.581924.fcs",27130.48046875,6.29557132720947,0.16393469274044,0.228534922003746,0.10850340873003,0.0820311605930328,0.565574288368225,-0.446707546710968,-2.34808611869812,-0.206455171108246,1.11881005764008,3398.60009765625,0.565
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","T_Hs60011Bd_C200900505A_00.581822.fcs",48826.19921875,6.46725273132324,0.832918882369995,0.453985512256622,0.171487867832184,-0.558798432350159,1.62832272052765,-0.331260442733765,-0.927387893199921,0.0710304528474808,1.0659966468811,2786.39990234375,0.271
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster2","CD16-|CD28-|CD3-|CD4-|CD8-","T_Hs60012Bd_C200900505A_00.581833.fcs",51267.318359375,6.16321206092834,1.37306636571884,0.384740591049194,0.119007907807827,0.0247371224686503,1.06247895956039,0.0625740960240364,2.26086401939392,-0.00767001998610795,1.04682552814484,4547.75,0.254
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster3","CD11A+","Hs90208Bd_C20090205_00.583331.fcs",47130.640625,6.25068140029907,3.10720205307007,2.87755656242371,0.195984467864037,0.999793231487274,2.25722026824951,4.16638040542603,6.12248802185059,0.182573348283768,3.49761199951172,7158.7998046875,0.847
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster3","CD11A+","Hs90210Bd_C20090205_00.583065.fcs",46790.91796875,6.20549488067627,3.08599328994751,2.86660075187683,0.223068878054619,1.44346058368683,1.4676262140274,4.07228136062622,6.2595362663269,0.225026845932007,3.87741208076477,6144.2001953125,0.907
